  ,log(SalePrice),Scheffe,TeamHacksaw
NoRidge,12.68,a,a
NridgHt,12.62,a,a
StoneBr,12.59,ab,a
Timber,12.36,abc,b
Veenker,12.34,abcd,b
Somerst,12.30,bcd,b
ClearCr,12.24,bcd,c
Crawfor,12.21,bcd,c
Blmngtn,12.17,bcde,d
CollgCr,12.16,cde,d
Gilbert,12.16,cde,d
NWAmes,12.13,cde,d
SawyerW,12.09,cde,e
Mitchel,11.93,def,f
NAmes,11.87,defg,f
NPkVill,11.87,defgh,f
SWISU,11.84,defgh,f
Blueste,11.83,defgh,f
Sawyer,11.81,efgh,f
Edwards,11.71,fgh,g
OldTown,11.70,fgh,g
BrkSide,11.68,fgh,g
BrDale,11.55,fgh,h
MeadowV,11.47,gh,h
IDOTRR,11.45,h,h
